accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
OR971516.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971515.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971514.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971513.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971512.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971511.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971510.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971509.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971508.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971507.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971506.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971505.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2018
OR971504.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2018
OR971503.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2018
OR971502.1																	Asia			Bos taurus	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2018
OR971501.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2018
OR971500.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2018
OR971499.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2018
OR971498.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2018
OR971497.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	
OR971496.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971495.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971494.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971493.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971492.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971491.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971490.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971489.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971488.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971487.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971486.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971485.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971484.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971483.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971482.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971481.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971480.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971479.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971478.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971477.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971476.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971475.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971474.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971473.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971472.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971471.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971470.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971469.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971468.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971467.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971466.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971465.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971464.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971463.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971462.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971461.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971460.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971459.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971458.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971457.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971456.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971455.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971454.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971453.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971452.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971451.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971450.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971449.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971448.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971447.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971446.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971445.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971444.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971443.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971442.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971441.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971440.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971439.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971438.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971437.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971436.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971435.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971434.1																	Asia			Felis catus	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971433.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971432.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971431.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971430.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971429.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971428.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971427.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971426.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971425.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971424.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971423.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971422.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971421.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971420.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971419.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971418.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971417.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971416.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971415.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971414.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971413.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971412.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971411.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971409.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971408.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971407.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971406.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971405.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971404.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971403.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971402.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971401.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971400.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971399.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971398.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971397.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971396.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971395.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971394.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	
OR971393.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971392.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971391.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971390.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971389.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971388.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971387.1																	Asia			Felis catus	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971386.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971385.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971384.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971383.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971382.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971381.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971380.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971379.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971378.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971377.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971376.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971375.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971374.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971373.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971372.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971371.1																	Asia			Felis catus	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971370.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971369.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971368.1																	Asia			Felis catus	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971367.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971366.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971365.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971364.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971363.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971362.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971361.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971360.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971359.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971358.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971357.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971356.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971355.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971354.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971353.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971352.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971351.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971350.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2020
OR971349.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971348.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971347.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971346.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971345.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971344.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971343.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971342.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971341.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971340.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971339.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971338.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971337.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971336.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971335.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971334.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971333.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971332.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971331.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971330.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971329.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971328.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971327.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971326.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971325.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971324.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971323.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR400520.1																	Asia			Canis lupus familiaris	Bu,Z.,Shuai,L.,Xiao,S.	2023
OQ473645.1																	Asia			Martes flavigula	Hsu,W.C.,Lee,F.,Chen,Y.W.,Tu,Y.C.,Chang,C.C.,Chiang,Y.L.,Hu,S.C.,Hsu,W.-C.,Chen,Y.-W.,Tu,Y.-C.,Chang,C.-C.,Chiang,Y.-L.,Hu,S.-C.	2021
ON986305.1																	Asia			Crocuta crocuta	Sahoo,D.M.,Kumar,D.,Singh,K.P.	
ON814542.1																	Asia			Panthera pardus	Sahoo,D.M.,Deepak,K.,Singh,K.P.	2021
ON814541.1																	Asia			Panthera tigris	Sahoo,D.M.,Kumar,D.,Singh,K.P.	2017
ON808418.1																	Asia			Canis lupus familiaris	Thangthamniyom,N.,Chankeeree,P.,Lekcharoensuk,P.,Lumlertdacha,B.,Chaisirirat,T.	2010
OM891792.1																	Asia			Melursus ursinus	Sahu,D.M.,Kumar,D.,Singh,K.P.	2021
OM891791.1																	Asia			Equus caballus	Sahoo,D.M.,Kumar,D.,Singh,K.P.	2020
OM891790.1																	Asia			Axis axis	Sahoo,D.M.,Kumar,D.,Singh,K.P.	2016
